1.019e+18,Insider Selling: Blue Apron Holdings Inc $APRN Insider Sells 10000 Shares of Stock https://t.co/XTfb8ZLHMD,Mon Jul 16 23:36:52 +0000 2018,TheMarketsDaily,APRN,Blue Apron Holdings,False,,,,,,,,,
1.019e+18,$IRM Max Pain is 35.00 for maturity 07/20/2018. #maxpain #options https://t.co/unGtStOyE1 https://t.co/9YVgClomU1,Mon Jul 16 23:36:57 +0000 2018,optioncharts,IRM,Iron Mountain Incorporated,False,,,,,,,,,
1.019e+18,RT @gassin123Charts: Victorian Government Defence appeared to concede that the $LKO interpretation of Fracking Ban Act is correct The legal…,Mon Jul 16 23:36:58 +0000 2018,PilbaraWolfee,DHR,Danaher Corporation,False,,,,,,,,,
1.019e+18,RT @PilbaraWolfee: Vanadium hits 10 year highs. Many Asx listed companies doing and progressing projects.  $TNG $TNO looking cheap here $A…,Mon Jul 16 23:37:00 +0000 2018,thegoldentrade,AEE,Ameren Corporation,False,,,,,,,,,
1.019e+18,On The Fly: After Hours Movers $CDMO $IGT $BGS $AG $NFLX $ROKU $AVEO $EOLS $TRQ $CARB $RDFN $NAKD $MTW $AMZN https://t.co/wYmbqXqQUJ,Mon Jul 16 23:38:02 +0000 2018,theflynews,TRQ,Turquoise Hill Resources Ltd.,False,,,,,,,,,
1.019e+18,RT @theflynews: On The Fly: After Hours Movers $CDMO $IGT $BGS $AG $NFLX $ROKU $AVEO $EOLS $TRQ $CARB $RDFN $NAKD $MTW $AMZN https://t.co/w…,Mon Jul 16 23:38:03 +0000 2018,tradnews_,TRQ,Turquoise Hill Resources Ltd.,False,,,,,,,,,
1.019e+18,RT @WeHate_BamBam: Since everybody dropping albums mixtapes and EP’s. Let me drop some 🔥 on y’all TL real quick. Twitter y’all do y’all th…,Mon Jul 16 23:38:23 +0000 2018,_ChosenMike,EA,Electronic Arts Inc.,False,,,,,,,,,
1.019e+18,Republic Services Inc. $RSG Analysts See $0.79 EPS - https://t.co/wvVoYRM3w4,Mon Jul 16 23:39:20 +0000 2018,whatsonthorold2,RSG,Republic Services,False,,,,,,,,,
1.019e+18,Republic Services Inc. $RSG Analysts See $0.79 EPS - https://t.co/2JJaysEWsl,Mon Jul 16 23:39:39 +0000 2018,mmahotstuff1,RSG,Republic Services,False,,,,,,,,,
1.019e+18,https://t.co/OPGpR1nFTx $PRU Prudential Financial notable market movement up 1.3% = $517.9 million gain.  #NASDAQ… https://t.co/Feew72Q866,Mon Jul 16 23:39:51 +0000 2018,42Stocks,PRU,Prudential Financial,False,,,,,,,,,
1.019e+18,RT @BitScreener: New Coins added to https://t.co/KozqoWvPD9 $KBC $FTI $PCH $QURO $SEER $CONI $ESS $ONL $OTB $PAI $GOT $THRT #bitscreener h…,Mon Jul 16 23:41:01 +0000 2018,fynucalixaby,ESS,Essex Property Trust,False,,,,,,,,,
1.019e+18,Hasbro $HAS Shares Gap Down to $96.52 https://t.co/VZqXCBDJIE,Mon Jul 16 23:41:05 +0000 2018,MareaInformativ,HAS,Hasbro,False,,,,,,,,,
1.019e+18,Republic Services Inc. $RSG EPS Estimated At $0.79 - https://t.co/HdO1Gq6WPK,Mon Jul 16 23:41:44 +0000 2018,bibeypost_stock,RSG,Republic Services,False,,,,,,,,,
